Type of Soil,Area Ploughed (in acres),Average Rainfall (in mm),Season,Type of Seeds,Type of Transplanting Method,Type of Irrigation Method,Type of Fertilizers Used,Yield Category
Red and Yellow Soil,16.79,1402.4,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Alluvial Soil,19.99,839.2,Zaid,Breeder Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,23.22,340.4,Kharif,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,High
Black Soil,6.25,944.3,Kharif,Breeder Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,10.28,1127.2,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Laterite Soil,4.23,1120.0,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,24.82,806.1,Zaid,Foundation Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,23.21,149.3,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Laterite Soil,13.73,588.1,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,Medium
Black Soil,21.13,1385.1,Rabi,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,13.26,897.5,Zaid,Foundation Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,15.78,830.6,Zaid,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Black Soil,2.68,439.8,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,19.0,584.3,Rabi,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Alluvial Soil,3.63,1348.3,Zaid,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Very High
Black Soil,20.74,1016.4,Rabi,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,19.66,1191.7,Zaid,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,High
Black Soil,17.86,708.8,Rabi,Foundation Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Black Soil,1.39,963.9,Zaid,Hybrid Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Black Soil,7.93,410.2,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Low
Black Soil,6.95,1072.9,Kharif,Open-Pollinated Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Very High
Red and Yellow Soil,9.32,670.0,Kharif,Breeder Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,2.65,691.7,Kharif,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Laterite Soil,23.46,991.5,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Black Soil,14.07,1407.6,Kharif,Hybrid Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,7.99,142.8,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Black Soil,10.23,1245.9,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,11.46,474.0,Kharif,Hybrid Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,15.21,693.7,Kharif,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,13.13,81.8,Zaid,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,23.03,486.5,Kharif,Foundation Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Alluvial Soil,12.68,778.8,Rabi,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,24.81,131.5,Kharif,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,21.36,762.1,Kharif,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,5.61,1394.3,Kharif,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Laterite Soil,23.3,202.8,Rabi,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Black Soil,3.35,1158.4,Kharif,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,20.53,644.0,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,9.83,1000.0,Rabi,Hybrid Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,22.01,427.3,Kharif,Foundation Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,21.77,281.3,Rabi,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,20.25,282.7,Zaid,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Medium
Laterite Soil,19.86,152.2,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Black Soil,7.96,319.2,Kharif,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,High
Alluvial Soil,2.48,1013.1,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,10.37,1328.5,Rabi,Open-Pollinated Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,4.75,1230.5,Kharif,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,17.53,1043.4,Zaid,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Very High
Saline and Alkaline Soil,8.98,210.1,Rabi,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,24.4,469.3,Rabi,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,16.2,499.2,Zaid,Open-Pollinated Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,20.65,412.4,Zaid,Hybrid Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Alluvial Soil,3.75,796.8,Kharif,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Organic Fertilizers,Very High
Alluvial Soil,21.62,826.6,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Laterite Soil,23.11,567.5,Kharif,Foundation Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Alluvial Soil,12.43,563.0,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,15.35,1251.4,Rabi,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,19.24,1194.5,Kharif,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Red and Yellow Soil,4.78,496.3,Kharif,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Alluvial Soil,12.81,1375.0,Kharif,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Laterite Soil,10.27,1431.6,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Chemical Fertilizers,Medium
Laterite Soil,4.09,523.8,Rabi,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,9.5,563.9,Kharif,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Medium
Alluvial Soil,2.17,783.2,Kharif,Foundation Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Red and Yellow Soil,1.13,1414.6,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,3.81,1320.7,Kharif,Breeder Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,24.1,198.7,Rabi,Genetically Modified (GM) Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Laterite Soil,13.96,619.5,Zaid,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,24.16,852.4,Rabi,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,11.1,779.5,Kharif,Breeder Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Black Soil,8.14,331.1,Rabi,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,12.9,1295.3,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,11.27,1031.6,Zaid,Hybrid Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,3.09,1265.0,Zaid,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Laterite Soil,16.2,1295.2,Zaid,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Chemical Fertilizers,High
Alluvial Soil,5.79,1135.1,Kharif,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,15.68,686.9,Rabi,Foundation Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,16.43,935.3,Zaid,Hybrid Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,4.22,282.5,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,2.0,1026.8,Kharif,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,19.63,309.9,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,11.77,1056.2,Zaid,Breeder Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,1.93,382.9,Kharif,Foundation Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,24.87,220.4,Rabi,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Black Soil,1.92,289.7,Zaid,Hybrid Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Black Soil,17.53,52.9,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Low
Black Soil,24.6,1092.2,Rabi,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,6.36,1112.0,Kharif,Foundation Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,3.99,796.7,Kharif,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,3.47,284.0,Kharif,Hybrid Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Red and Yellow Soil,7.93,171.2,Rabi,Open-Pollinated Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,2.98,77.7,Kharif,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Black Soil,17.46,290.3,Rabi,Breeder Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,2.03,1341.7,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,12.98,400.2,Kharif,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Black Soil,24.92,563.7,Zaid,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Low
Black Soil,20.44,202.8,Zaid,Foundation Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Laterite Soil,15.57,372.4,Zaid,Open-Pollinated Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Alluvial Soil,8.0,802.9,Rabi,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,15.79,931.2,Rabi,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,13.41,405.8,Rabi,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Medium
Black Soil,10.94,133.7,Kharif,Hybrid Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Alluvial Soil,3.7,617.0,Rabi,Foundation Seeds,Machine,Well Irrigation,Chemical Fertilizers,Low
Black Soil,22.22,389.6,Kharif,Open-Pollinated Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Medium
Red and Yellow Soil,11.52,368.4,Kharif,Genetically Modified (GM) Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Black Soil,5.27,1441.8,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Medium
Black Soil,9.51,943.6,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,10.65,857.5,Zaid,Genetically Modified (GM) Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,20.77,652.9,Kharif,Hybrid Seeds,Manual,Sprinkler Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,18.47,672.0,Kharif,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,19.35,834.3,Kharif,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,0.77,1059.8,Rabi,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,High
Alluvial Soil,10.7,1068.1,Kharif,Foundation Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Very High
Laterite Soil,12.29,299.0,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,Low
Alluvial Soil,0.97,775.2,Zaid,Foundation Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,6.87,647.3,Kharif,Foundation Seeds,Machine,Drip Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,19.13,1312.3,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,3.86,965.6,Zaid,Breeder Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,Very High
Laterite Soil,13.62,822.1,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,5.77,217.3,Zaid,Breeder Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,Low
Red and Yellow Soil,0.8,928.2,Rabi,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,6.41,219.9,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Laterite Soil,24.41,538.9,Rabi,Genetically Modified (GM) Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,20.14,257.1,Kharif,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Black Soil,24.01,1053.5,Kharif,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Black Soil,12.45,349.1,Rabi,Foundation Seeds,Machine,Well Irrigation,Organic Fertilizers,Low
Red and Yellow Soil,3.19,618.2,Kharif,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,13.93,1348.7,Rabi,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Low
Saline and Alkaline Soil,11.63,346.3,Kharif,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,21.19,786.3,Zaid,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,High
Black Soil,2.9,657.9,Kharif,Foundation Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,Medium
Laterite Soil,12.46,76.3,Zaid,Foundation Seeds,Manual,Canal Irrigation,Organic Fertilizers,Low
Black Soil,4.18,1199.5,Zaid,Open-Pollinated Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Laterite Soil,8.45,150.1,Rabi,Hybrid Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,18.57,737.7,Kharif,Hybrid Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,12.16,863.0,Rabi,Open-Pollinated Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,9.71,961.2,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,10.16,1048.5,Zaid,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,11.76,417.2,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,19.73,64.5,Kharif,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,22.36,1099.0,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,23.91,826.7,Rabi,Breeder Seeds,Manual,Tank Irrigation,Chemical Fertilizers,Very High
Laterite Soil,19.78,1262.4,Kharif,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Very High
Alluvial Soil,8.23,1241.0,Kharif,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Very High
Alluvial Soil,17.36,1272.8,Kharif,Breeder Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,11.22,753.4,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,6.74,533.8,Kharif,Open-Pollinated Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Black Soil,21.1,1197.8,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Laterite Soil,1.44,704.4,Rabi,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,Low
Saline and Alkaline Soil,22.59,316.0,Rabi,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,11.81,1289.7,Zaid,Breeder Seeds,Manual,Drip Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,16.11,1329.7,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,16.65,726.1,Zaid,Hybrid Seeds,Machine,Drip Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,22.43,159.8,Kharif,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Red and Yellow Soil,16.1,612.3,Zaid,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,15.54,1215.1,Kharif,Open-Pollinated Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Saline and Alkaline Soil,2.13,1357.6,Rabi,Foundation Seeds,Manual,Tubewell Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,13.2,345.0,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,4.18,147.1,Zaid,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,18.57,1322.2,Kharif,Breeder Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Very High
Laterite Soil,13.05,614.6,Zaid,Genetically Modified (GM) Seeds,Machine,Well Irrigation,Organic Fertilizers,Low
Alluvial Soil,17.17,835.6,Zaid,Foundation Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Black Soil,1.52,1453.7,Kharif,Foundation Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,2.58,146.5,Zaid,Breeder Seeds,Manual,Sprinkler Irrigation,Organic Fertilizers,High
Alluvial Soil,18.05,990.1,Rabi,Breeder Seeds,Manual,Canal Irrigation,Chemical Fertilizers,High
Alluvial Soil,2.27,157.5,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Low
Saline and Alkaline Soil,2.25,594.4,Kharif,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Bioinputs Fertilizers,Medium
Red and Yellow Soil,0.8,1215.5,Kharif,Breeder Seeds,Manual,Well Irrigation,Organic Fertilizers,Very High
Alluvial Soil,23.93,678.5,Rabi,Foundation Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Red and Yellow Soil,18.57,1495.9,Kharif,Foundation Seeds,Machine,Sprinkler Irrigation,Bioinputs Fertilizers,High
Laterite Soil,9.15,860.6,Kharif,Hybrid Seeds,Manual,Canal Irrigation,Chemical Fertilizers,High
Black Soil,7.77,515.7,Rabi,Breeder Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,9.07,369.2,Zaid,Open-Pollinated Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Laterite Soil,19.48,558.3,Rabi,Genetically Modified (GM) Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,16.7,590.2,Zaid,Open-Pollinated Seeds,Manual,Drip Irrigation,Chemical Fertilizers,Medium
Black Soil,5.04,149.6,Rabi,Foundation Seeds,Machine,Drip Irrigation,Bioinputs Fertilizers,Medium
Laterite Soil,4.77,585.9,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Laterite Soil,2.91,723.1,Rabi,Foundation Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Low
Black Soil,16.68,1098.0,Zaid,Foundation Seeds,Machine,Sprinkler Irrigation,Organic Fertilizers,High
Black Soil,19.23,1002.3,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,High
Laterite Soil,6.99,1077.7,Zaid,Foundation Seeds,Machine,Canal Irrigation,Organic Fertilizers,High
Black Soil,1.01,62.1,Rabi,Foundation Seeds,Machine,Tubewell Irrigation,Bioinputs Fertilizers,Low
Laterite Soil,2.51,365.6,Kharif,Hybrid Seeds,Manual,Well Irrigation,Organic Fertilizers,Medium
Laterite Soil,24.21,1009.4,Zaid,Open-Pollinated Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,7.74,751.8,Rabi,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,19.35,57.7,Zaid,Hybrid Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,High
Laterite Soil,15.8,1216.5,Zaid,Breeder Seeds,Machine,Tubewell Irrigation,Organic Fertilizers,High
Red and Yellow Soil,9.86,1170.6,Rabi,Breeder Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,Medium
Alluvial Soil,5.54,845.2,Zaid,Breeder Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Alluvial Soil,3.47,146.4,Rabi,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,Low
Alluvial Soil,15.57,1161.4,Kharif,Breeder Seeds,Manual,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,19.48,896.4,Zaid,Open-Pollinated Seeds,Machine,Tank Irrigation,Organic Fertilizers,Very High
Laterite Soil,16.28,1183.8,Kharif,Hybrid Seeds,Machine,Canal Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,13.49,1140.0,Zaid,Open-Pollinated Seeds,Manual,Sprinkler Irrigation,Chemical Fertilizers,Medium
Laterite Soil,1.53,1214.4,Zaid,Breeder Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,24.23,801.1,Zaid,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Organic Fertilizers,High
Saline and Alkaline Soil,20.07,253.5,Rabi,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Red and Yellow Soil,7.67,1023.2,Kharif,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Very High
Saline and Alkaline Soil,24.51,949.7,Zaid,Open-Pollinated Seeds,Manual,Canal Irrigation,Chemical Fertilizers,Medium
Black Soil,15.25,1126.3,Rabi,Foundation Seeds,Machine,Well Irrigation,Organic Fertilizers,High
Red and Yellow Soil,14.77,296.3,Zaid,Open-Pollinated Seeds,Machine,Drip Irrigation,Organic Fertilizers,Medium
Saline and Alkaline Soil,18.83,332.7,Rabi,Breeder Seeds,Machine,Canal Irrigation,Chemical Fertilizers,Low
Alluvial Soil,20.39,1341.1,Zaid,Foundation Seeds,Machine,Drip Irrigation,Chemical Fertilizers,Very High
Black Soil,16.58,1137.5,Kharif,Genetically Modified (GM) Seeds,Machine,Tank Irrigation,Bioinputs Fertilizers,High
Black Soil,3.64,1366.9,Kharif,Hybrid Seeds,Machine,Well Irrigation,Bioinputs Fertilizers,Very High
Black Soil,8.79,1150.1,Zaid,Hybrid Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,High
Red and Yellow Soil,23.24,915.9,Rabi,Genetically Modified (GM) Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Medium
Saline and Alkaline Soil,6.0,998.5,Zaid,Breeder Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
Saline and Alkaline Soil,9.62,1339.2,Rabi,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Bioinputs Fertilizers,High
Alluvial Soil,11.09,889.3,Zaid,Breeder Seeds,Manual,Tubewell Irrigation,Organic Fertilizers,Very High
Alluvial Soil,11.27,967.0,Rabi,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Very High
Black Soil,15.52,276.9,Kharif,Genetically Modified (GM) Seeds,Manual,Drip Irrigation,Organic Fertilizers,Very High
Alluvial Soil,23.61,737.2,Zaid,Breeder Seeds,Manual,Well Irrigation,Organic Fertilizers,High
Red and Yellow Soil,6.4,1088.8,Kharif,Foundation Seeds,Manual,Well Irrigation,Bioinputs Fertilizers,High
Saline and Alkaline Soil,3.48,442.9,Kharif,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Chemical Fertilizers,Low
Black Soil,5.34,343.3,Zaid,Hybrid Seeds,Machine,Well Irrigation,Organic Fertilizers,Low
Alluvial Soil,22.23,505.0,Zaid,Genetically Modified (GM) Seeds,Machine,Canal Irrigation,Organic Fertilizers,Medium
Red and Yellow Soil,16.32,400.2,Rabi,Open-Pollinated Seeds,Manual,Tank Irrigation,Bioinputs Fertilizers,Low
Red and Yellow Soil,7.5,361.6,Rabi,Genetically Modified (GM) Seeds,Machine,Sprinkler Irrigation,Chemical Fertilizers,Low
Alluvial Soil,20.49,666.0,Kharif,Open-Pollinated Seeds,Machine,Tubewell Irrigation,Chemical Fertilizers,High
Saline and Alkaline Soil,21.6,1366.4,Rabi,Foundation Seeds,Manual,Canal Irrigation,Bioinputs Fertilizers,Very High
Alluvial Soil,21.24,785.2,Rabi,Genetically Modified (GM) Seeds,Manual,Well Irrigation,Chemical Fertilizers,Medium
