Ownership of Land,Land Owned (in acres),Location,Types of Fertilizers Used,Owning Farming Equipment,Annual Income (in INR),Bank Loan (in INR),Ownership of Livestock,Previous Subsidy Eligibility,Subsidy Eligibility
Yes,21.54,Madhya Pradesh,Bioinputs,Yes,108446.56,112271.16,Yes,No,Soil Health Card Scheme
No,12.44,Madhya Pradesh,Bioinputs,No,404508.41,176567.3,No,No,PM Krishi Sinchayee Yojana
No,30.86,Jharkhand,Organic,Yes,426565.04,105562.42,No,No,PM Krishi Sinchayee Yojana
Yes,35.34,Bihar,Organic,No,151683.66,103525.97,No,Yes,Soil Health Card Scheme
Yes,8.35,Himachal Pradesh,Bioinputs,Yes,476607.44,115575.42,No,Yes,Kisan Credit Card Subsidy
No,8.38,Sikkim,Chemical,No,34431.47,149863.07,No,No,Kisan Credit Card Subsidy
Yes,1.83,Telangana,Organic,Yes,83455.53,192938.1,No,No,Fertilizer Subsidy Scheme
No,36.82,Tamil Nadu,Bioinputs,No,273414.76,14712.67,Yes,Yes,Kisan Credit Card Subsidy
Yes,33.19,Uttarakhand,Organic,No,292138.31,10686.92,Yes,Yes,Kisan Credit Card Subsidy
No,23.73,Arunachal Pradesh,Organic,Yes,326123.54,187510.07,Yes,No,Kisan Credit Card Subsidy
No,42.21,Odisha,Organic,No,18314.87,105975.13,No,No,Kisan Credit Card Subsidy
No,40.28,Andhra Pradesh,Bioinputs,Yes,480579.72,122980.6,Yes,No,PM Krishi Sinchayee Yojana
No,29.27,Tripura,Chemical,Yes,31848.17,96484.72,No,No,Kisan Credit Card Subsidy
No,43.41,Delhi,Chemical,Yes,80100.36,18731.49,No,No,Kisan Credit Card Subsidy
No,10.29,Gujarat,Chemical,Yes,16867.11,153617.88,No,No,PM Krishi Sinchayee Yojana
Yes,5.6,Mizoram,Organic,Yes,287760.63,149444.93,No,Yes,Kisan Credit Card Subsidy
Yes,13.49,Assam,Bioinputs,No,466810.77,62340.66,Yes,No,Kisan Credit Card Subsidy
Yes,2.85,Punjab,Organic,Yes,336314.11,61247.85,Yes,No,Soil Health Card Scheme
No,26.56,Punjab,Chemical,Yes,413102.16,167568.28,Yes,Yes,PM Krishi Sinchayee Yojana
No,46.83,Rajasthan,Chemical,Yes,16507.79,14471.45,No,Yes,Kisan Credit Card Subsidy
No,1.97,Puducherry,Bioinputs,Yes,275587.5,176221.03,Yes,Yes,NFSM
No,6.11,Assam,Organic,Yes,235185.86,51332.34,Yes,Yes,NFSM
Yes,22.61,Assam,Chemical,Yes,254494.29,118596.95,Yes,No,Kisan Credit Card Subsidy
Yes,46.69,Mizoram,Bioinputs,No,45384.46,187198.84,No,Yes,Soil Health Card Scheme
No,15.81,Gujarat,Organic,No,345373.33,135624.5,Yes,Yes,Kisan Credit Card Subsidy
Yes,25.36,Uttarakhand,Organic,Yes,256578.0,82885.96,No,No,Kisan Credit Card Subsidy
Yes,2.08,Uttar Pradesh,Chemical,No,384922.94,137906.84,Yes,Yes,Soil Health Card Scheme
No,7.42,Maharashtra,Chemical,Yes,247792.41,68795.93,No,Yes,PM Krishi Sinchayee Yojana
Yes,49.33,Mizoram,Organic,Yes,83197.0,55451.68,Yes,No,NFSM
No,48.26,Nagaland,Organic,Yes,327645.91,199336.66,Yes,No,PM Krishi Sinchayee Yojana
Yes,0.25,Madhya Pradesh,Chemical,Yes,94469.32,150158.05,Yes,No,RKVY
No,47.59,Punjab,Organic,Yes,437473.34,128944.0,No,No,PM Krishi Sinchayee Yojana
No,31.96,Delhi,Chemical,No,310426.96,71057.93,Yes,No,Kisan Credit Card Subsidy
No,43.4,Punjab,Organic,No,87029.9,9832.17,Yes,No,Kisan Credit Card Subsidy
No,22.74,Rajasthan,Chemical,No,481545.65,6211.38,No,No,PM Krishi Sinchayee Yojana
Yes,25.78,Uttarakhand,Bioinputs,No,263999.08,110836.25,No,Yes,NFSM
No,24.44,Nagaland,Chemical,Yes,45720.24,152406.54,No,Yes,NFSM
No,33.34,Bihar,Chemical,No,317148.12,107475.84,No,No,PM Krishi Sinchayee Yojana
No,6.98,Andhra Pradesh,Bioinputs,Yes,134067.46,168157.01,Yes,Yes,Soil Health Card Scheme
Yes,1.5,Nagaland,Organic,No,403809.79,6685.31,Yes,No,Kisan Credit Card Subsidy
No,15.4,Andhra Pradesh,Bioinputs,No,410732.82,73350.42,No,Yes,PM Krishi Sinchayee Yojana
Yes,35.23,Uttar Pradesh,Chemical,No,489684.2,47414.08,Yes,No,PM Krishi Sinchayee Yojana
No,10.09,Uttar Pradesh,Organic,No,255916.07,89454.59,No,Yes,Kisan Credit Card Subsidy
Yes,33.67,Madhya Pradesh,Bioinputs,Yes,232928.87,14475.28,Yes,No,Kisan Credit Card Subsidy
Yes,48.5,Punjab,Organic,No,379203.05,190826.33,No,Yes,Kisan Credit Card Subsidy
No,4.7,Punjab,Organic,No,74910.62,44651.08,Yes,No,NFSM
Yes,33.63,Tamil Nadu,Bioinputs,Yes,277988.6,184461.56,No,Yes,Kisan Credit Card Subsidy
No,22.19,Jharkhand,Organic,Yes,277661.32,85178.63,No,Yes,PM Krishi Sinchayee Yojana
No,43.41,Uttarakhand,Bioinputs,No,53841.83,197104.83,Yes,No,NFSM
No,8.86,Karnataka,Chemical,Yes,214812.2,110811.68,Yes,Yes,NFSM
Yes,34.63,Himachal Pradesh,Organic,Yes,428109.55,186166.57,Yes,Yes,NFSM
Yes,41.91,Himachal Pradesh,Chemical,Yes,429515.27,1069.8,No,Yes,PM Krishi Sinchayee Yojana
No,47.23,Chhattisgarh,Chemical,No,58626.46,149647.76,Yes,Yes,NFSM
No,34.16,Uttar Pradesh,Organic,Yes,54453.23,180610.13,No,Yes,NFSM
Yes,24.86,Andhra Pradesh,Bioinputs,No,138720.78,27944.11,Yes,No,NFSM
No,30.89,Mizoram,Organic,No,438635.37,19225.17,Yes,No,PM Krishi Sinchayee Yojana
No,43.45,Sikkim,Chemical,No,73162.27,84914.52,No,Yes,NFSM
No,28.53,Arunachal Pradesh,Chemical,No,362798.43,186735.78,No,No,PM Krishi Sinchayee Yojana
Yes,1.52,Telangana,Bioinputs,Yes,59571.15,108477.31,Yes,Yes,Fertilizer Subsidy Scheme
Yes,46.55,Madhya Pradesh,Organic,No,315337.55,105491.29,No,No,PM Krishi Sinchayee Yojana
Yes,34.48,Himachal Pradesh,Chemical,Yes,184472.98,28225.22,No,Yes,Soil Health Card Scheme
No,33.83,Delhi,Chemical,No,396567.84,157.9,Yes,Yes,PM Krishi Sinchayee Yojana
No,10.78,Bihar,Chemical,Yes,124508.32,162028.02,No,Yes,PM Krishi Sinchayee Yojana
No,32.94,Chhattisgarh,Bioinputs,No,323208.9,17514.91,Yes,Yes,Kisan Credit Card Subsidy
Yes,19.69,Karnataka,Chemical,Yes,125484.44,126769.96,Yes,No,Soil Health Card Scheme
No,32.56,Telangana,Chemical,No,359693.54,182923.29,No,No,PM Krishi Sinchayee Yojana
No,5.33,Odisha,Organic,No,438102.24,41730.38,Yes,No,PM Krishi Sinchayee Yojana
No,32.89,Rajasthan,Organic,Yes,72132.88,133054.57,No,Yes,NFSM
No,49.97,Assam,Chemical,No,434631.89,15739.72,Yes,No,PM Krishi Sinchayee Yojana
Yes,2.41,Kerala,Chemical,No,300851.87,120751.03,No,No,NFSM
Yes,48.86,Uttar Pradesh,Organic,No,72284.14,32786.34,No,Yes,NFSM
No,20.35,Odisha,Bioinputs,Yes,219495.51,147190.71,No,Yes,Kisan Credit Card Subsidy
Yes,43.54,Odisha,Bioinputs,No,88821.54,60246.26,No,Yes,Soil Health Card Scheme
Yes,39.12,Madhya Pradesh,Bioinputs,No,353170.47,92678.2,No,No,PM Krishi Sinchayee Yojana
No,28.35,West Bengal,Bioinputs,Yes,381845.39,119886.11,Yes,No,PM Krishi Sinchayee Yojana
No,36.92,Gujarat,Bioinputs,Yes,61840.29,34254.68,Yes,Yes,NFSM
Yes,43.93,Manipur,Bioinputs,Yes,258008.53,148327.56,No,No,PM Krishi Sinchayee Yojana
No,20.21,Tamil Nadu,Bioinputs,Yes,409166.28,60528.07,Yes,Yes,Kisan Credit Card Subsidy
Yes,16.35,Gujarat,Bioinputs,Yes,468719.89,132474.37,No,No,Kisan Credit Card Subsidy
No,33.38,Uttar Pradesh,Organic,No,261623.75,31656.61,No,Yes,PM Krishi Sinchayee Yojana
Yes,40.39,Haryana,Bioinputs,No,475636.82,137623.53,Yes,No,PM Krishi Sinchayee Yojana
No,38.11,Chhattisgarh,Bioinputs,No,272487.6,25637.61,Yes,No,PM Krishi Sinchayee Yojana
Yes,39.89,Rajasthan,Bioinputs,Yes,203153.34,85071.3,No,No,PM Krishi Sinchayee Yojana
Yes,21.78,Maharashtra,Chemical,No,425619.53,49441.21,No,Yes,PM Krishi Sinchayee Yojana
Yes,40.89,Bihar,Organic,Yes,251561.53,149675.05,No,Yes,Kisan Credit Card Subsidy
No,6.01,Tamil Nadu,Organic,Yes,241232.23,52407.0,No,Yes,Kisan Credit Card Subsidy
Yes,27.22,Jharkhand,Organic,No,250253.12,176343.46,No,No,PM Krishi Sinchayee Yojana
Yes,0.29,Punjab,Bioinputs,Yes,424924.65,178364.04,No,Yes,NFSM
No,16.23,Manipur,Bioinputs,Yes,417651.36,39288.26,Yes,No,PM Krishi Sinchayee Yojana
No,18.32,Nagaland,Chemical,No,207724.8,122769.19,No,Yes,Kisan Credit Card Subsidy
Yes,19.81,Punjab,Organic,Yes,173316.93,17543.53,No,Yes,Soil Health Card Scheme
Yes,34.77,Madhya Pradesh,Bioinputs,Yes,251044.73,78307.42,Yes,No,Kisan Credit Card Subsidy
No,19.43,Delhi,Organic,No,290658.53,142664.35,No,No,PM Krishi Sinchayee Yojana
No,22.43,Haryana,Chemical,Yes,126785.23,131884.65,No,Yes,NFSM
No,11.88,Himachal Pradesh,Chemical,Yes,399037.99,124940.13,Yes,Yes,NFSM
No,18.66,Meghalaya,Chemical,No,248376.56,56508.17,No,No,PM Krishi Sinchayee Yojana
No,11.36,Odisha,Organic,No,173682.32,75604.99,Yes,No,NFSM
Yes,3.66,Meghalaya,Bioinputs,No,62342.29,20589.23,No,Yes,Soil Health Card Scheme
No,30.17,Gujarat,Bioinputs,No,127034.13,143804.56,Yes,No,Kisan Credit Card Subsidy
Yes,33.41,Maharashtra,Chemical,Yes,475147.77,100777.76,Yes,Yes,NFSM
Yes,30.97,West Bengal,Bioinputs,Yes,159498.85,141753.13,Yes,Yes,Soil Health Card Scheme
Yes,23.17,Maharashtra,Chemical,No,92741.05,49788.7,No,Yes,Soil Health Card Scheme
No,18.99,Tripura,Organic,Yes,235729.67,64887.65,No,No,PM Krishi Sinchayee Yojana
Yes,43.17,Uttarakhand,Chemical,Yes,160472.99,66843.07,Yes,Yes,Soil Health Card Scheme
Yes,25.95,Bihar,Organic,No,27228.03,5148.48,Yes,Yes,Soil Health Card Scheme
No,23.96,Uttar Pradesh,Chemical,No,168341.16,68209.57,No,No,Kisan Credit Card Subsidy
Yes,1.28,Manipur,Bioinputs,Yes,276613.23,160660.91,No,No,NFSM
Yes,17.06,Assam,Bioinputs,No,280339.06,179459.7,No,No,PM Krishi Sinchayee Yojana
No,19.01,Chhattisgarh,Chemical,No,184713.87,103643.66,No,Yes,Kisan Credit Card Subsidy
Yes,19.94,Andhra Pradesh,Bioinputs,No,229178.35,91100.34,No,No,PM Krishi Sinchayee Yojana
Yes,29.01,Assam,Bioinputs,Yes,483103.78,6164.92,Yes,No,PM Krishi Sinchayee Yojana
Yes,26.68,Manipur,Bioinputs,No,194900.75,175840.87,No,Yes,NFSM
No,30.4,Telangana,Organic,Yes,136531.14,2602.04,Yes,Yes,NFSM
No,38.24,Uttarakhand,Bioinputs,Yes,129298.85,188950.02,No,Yes,Soil Health Card Scheme
No,40.65,Haryana,Organic,Yes,234304.66,97843.25,Yes,Yes,PM Krishi Sinchayee Yojana
Yes,35.91,Chandigarh,Chemical,No,382164.87,68386.9,Yes,No,Kisan Credit Card Subsidy
Yes,47.78,Delhi,Bioinputs,No,110934.21,184843.69,No,Yes,Soil Health Card Scheme
No,0.91,Bihar,Bioinputs,No,357555.1,4878.2,Yes,No,PM Krishi Sinchayee Yojana
Yes,9.79,Arunachal Pradesh,Bioinputs,No,20363.41,116284.98,Yes,Yes,Soil Health Card Scheme
Yes,0.38,Delhi,Chemical,No,215277.16,109786.5,Yes,Yes,Soil Health Card Scheme
No,32.37,Telangana,Organic,Yes,390173.88,43864.08,Yes,No,PM Krishi Sinchayee Yojana
No,44.9,Telangana,Organic,Yes,175979.15,85777.49,No,No,PM Krishi Sinchayee Yojana
Yes,12.17,Jharkhand,Bioinputs,Yes,286231.18,130452.8,Yes,No,NFSM
Yes,46.35,Bihar,Chemical,No,110439.82,145426.24,No,Yes,Soil Health Card Scheme
Yes,3.01,Assam,Chemical,Yes,373577.74,143.37,Yes,Yes,Soil Health Card Scheme
No,46.72,Arunachal Pradesh,Chemical,Yes,35616.76,187370.69,No,No,Kisan Credit Card Subsidy
No,17.58,Tripura,Chemical,No,427745.9,32905.07,No,No,PM Krishi Sinchayee Yojana
No,5.07,Mizoram,Chemical,No,107116.23,46716.09,No,Yes,NFSM
No,24.29,Tamil Nadu,Organic,Yes,438455.04,52694.69,Yes,No,PM Krishi Sinchayee Yojana
Yes,12.84,Rajasthan,Organic,Yes,182739.33,7564.03,No,No,NFSM
No,14.24,Telangana,Organic,No,364114.95,24610.42,No,Yes,Kisan Credit Card Subsidy
No,15.36,Punjab,Bioinputs,No,166420.4,197269.98,Yes,No,Kisan Credit Card Subsidy
No,40.15,Tamil Nadu,Chemical,No,453896.72,63043.35,No,Yes,Kisan Credit Card Subsidy
No,26.96,Madhya Pradesh,Bioinputs,No,72052.19,23060.22,Yes,Yes,NFSM
No,15.57,Chhattisgarh,Chemical,Yes,97474.7,21398.25,Yes,Yes,Kisan Credit Card Subsidy
Yes,30.52,Chandigarh,Organic,Yes,251584.76,143891.99,No,No,Kisan Credit Card Subsidy
Yes,35.81,Puducherry,Bioinputs,No,50149.84,170913.73,Yes,No,Soil Health Card Scheme
No,13.63,Rajasthan,Organic,Yes,106030.29,51390.46,Yes,No,Soil Health Card Scheme
Yes,20.68,Puducherry,Chemical,Yes,472445.53,4181.9,Yes,No,PM Krishi Sinchayee Yojana
No,6.09,Himachal Pradesh,Chemical,No,488479.93,44618.0,No,Yes,PM Krishi Sinchayee Yojana
No,9.06,Tripura,Chemical,Yes,194367.07,11303.14,Yes,Yes,NFSM
Yes,34.06,Delhi,Organic,Yes,462410.15,20678.99,Yes,No,PM Krishi Sinchayee Yojana
Yes,9.07,Tripura,Chemical,Yes,276964.09,86301.62,Yes,No,Kisan Credit Card Subsidy
No,26.26,West Bengal,Organic,No,142173.81,45983.67,No,No,PM Krishi Sinchayee Yojana
No,35.45,Sikkim,Bioinputs,No,354175.37,103189.18,Yes,No,PM Krishi Sinchayee Yojana
No,5.34,Goa,Chemical,Yes,332861.89,50698.75,No,Yes,PM Krishi Sinchayee Yojana
Yes,28.37,Chhattisgarh,Chemical,No,494671.41,188107.46,Yes,No,NFSM
No,12.83,Tripura,Chemical,No,139873.17,181188.79,No,Yes,NFSM
No,48.15,Jharkhand,Bioinputs,No,339309.16,113361.22,No,No,PM Krishi Sinchayee Yojana
No,24.18,Haryana,Chemical,Yes,35491.64,70884.8,No,No,Kisan Credit Card Subsidy
Yes,40.3,Gujarat,Organic,Yes,65686.56,76229.38,Yes,No,Soil Health Card Scheme
No,27.51,Gujarat,Organic,No,11920.0,82370.46,Yes,Yes,Soil Health Card Scheme
No,2.17,Goa,Chemical,Yes,499735.73,145515.86,Yes,No,Kisan Credit Card Subsidy
Yes,31.66,Rajasthan,Chemical,Yes,403114.11,90327.8,No,Yes,Kisan Credit Card Subsidy
No,47.57,Delhi,Bioinputs,Yes,395494.28,171345.99,Yes,Yes,PM Krishi Sinchayee Yojana
No,30.08,Punjab,Bioinputs,Yes,259765.78,188818.96,Yes,No,PM Krishi Sinchayee Yojana
Yes,40.96,Assam,Bioinputs,Yes,157032.87,67189.23,No,Yes,Soil Health Card Scheme
No,44.21,Odisha,Chemical,No,84119.5,112138.9,Yes,Yes,Soil Health Card Scheme
Yes,11.4,Sikkim,Bioinputs,Yes,149490.62,19011.31,Yes,Yes,RKVY
Yes,10.6,Manipur,Bioinputs,Yes,194225.9,40093.81,No,No,Kisan Credit Card Subsidy
No,30.55,Bihar,Organic,Yes,380591.95,82693.15,No,Yes,PM Krishi Sinchayee Yojana
No,20.55,West Bengal,Bioinputs,No,274434.28,41240.54,Yes,Yes,NFSM
No,41.99,Kerala,Organic,No,47966.98,175312.1,No,No,Kisan Credit Card Subsidy
No,45.0,Goa,Organic,No,18834.21,31657.25,Yes,No,Kisan Credit Card Subsidy
Yes,17.67,Odisha,Bioinputs,Yes,60142.77,91132.16,Yes,Yes,Soil Health Card Scheme
No,11.84,Chandigarh,Organic,No,211144.37,121139.85,Yes,Yes,Kisan Credit Card Subsidy
Yes,39.03,Bihar,Chemical,No,467264.53,138372.78,Yes,Yes,NFSM
No,13.74,Manipur,Chemical,No,322327.22,76613.87,Yes,Yes,PM Krishi Sinchayee Yojana
No,41.13,Himachal Pradesh,Bioinputs,No,402894.69,173819.81,No,No,PM Krishi Sinchayee Yojana
No,21.19,Chhattisgarh,Chemical,Yes,238523.55,113663.83,No,No,PM Krishi Sinchayee Yojana
Yes,33.38,Madhya Pradesh,Organic,No,187216.38,87901.56,Yes,Yes,Soil Health Card Scheme
No,4.78,Tamil Nadu,Chemical,No,63116.18,13448.13,No,No,NFSM
No,31.19,Uttar Pradesh,Bioinputs,Yes,439207.18,92937.89,No,Yes,PM Krishi Sinchayee Yojana
No,22.59,Nagaland,Bioinputs,Yes,393748.41,164147.17,Yes,No,PM Krishi Sinchayee Yojana
No,29.33,Puducherry,Organic,No,92377.87,122908.2,No,No,Kisan Credit Card Subsidy
Yes,8.4,Puducherry,Bioinputs,Yes,261007.68,166432.49,No,Yes,Kisan Credit Card Subsidy
No,36.84,Chhattisgarh,Chemical,No,248813.66,98802.33,Yes,Yes,Kisan Credit Card Subsidy
Yes,43.14,Tripura,Bioinputs,Yes,316294.86,23692.34,Yes,Yes,Kisan Credit Card Subsidy
Yes,10.84,Meghalaya,Organic,Yes,473631.58,2727.97,Yes,Yes,NFSM
Yes,4.79,Uttarakhand,Bioinputs,No,294088.01,60643.91,Yes,No,NFSM
Yes,1.18,Odisha,Chemical,Yes,274706.46,139598.09,Yes,No,NFSM
Yes,32.1,Maharashtra,Organic,No,34658.24,158051.98,Yes,Yes,RKVY
Yes,30.35,Tripura,Chemical,Yes,40824.66,59150.57,Yes,No,Soil Health Card Scheme
No,27.33,Puducherry,Organic,No,101799.93,99130.78,No,No,Kisan Credit Card Subsidy
Yes,11.6,Meghalaya,Bioinputs,Yes,25910.68,84223.78,Yes,Yes,RKVY
Yes,19.55,Uttarakhand,Organic,Yes,374242.92,82104.56,No,Yes,Kisan Credit Card Subsidy
Yes,29.72,Manipur,Organic,Yes,364431.85,46269.74,No,No,PM Krishi Sinchayee Yojana
No,24.84,Sikkim,Bioinputs,Yes,76667.55,27274.22,Yes,Yes,NFSM
No,49.39,Bihar,Chemical,Yes,419678.66,39337.71,No,Yes,Kisan Credit Card Subsidy
Yes,6.82,Gujarat,Bioinputs,No,85845.16,11066.48,No,No,Kisan Credit Card Subsidy
No,34.76,Meghalaya,Organic,Yes,157576.04,39626.15,No,No,Kisan Credit Card Subsidy
Yes,20.22,Telangana,Bioinputs,No,131998.68,1840.18,Yes,Yes,NFSM
Yes,21.41,Sikkim,Organic,No,192430.48,125451.68,No,No,NFSM
No,35.88,Rajasthan,Bioinputs,No,134785.25,63275.08,No,Yes,Soil Health Card Scheme
Yes,34.62,Sikkim,Bioinputs,Yes,249585.95,194628.94,Yes,Yes,NFSM
No,49.56,Rajasthan,Chemical,No,209629.86,38743.41,No,No,PM Krishi Sinchayee Yojana
No,6.42,Haryana,Organic,Yes,493419.05,69165.71,No,No,PM Krishi Sinchayee Yojana
Yes,5.21,Mizoram,Chemical,No,37403.91,71568.23,No,Yes,NFSM
Yes,36.22,Meghalaya,Organic,No,79668.87,1690.3,No,Yes,NFSM
No,28.92,Uttarakhand,Bioinputs,No,35884.69,167841.59,No,Yes,NFSM
Yes,13.71,Tamil Nadu,Organic,No,316662.19,6398.89,Yes,No,PM Krishi Sinchayee Yojana
Yes,3.97,Chandigarh,Chemical,No,36709.55,188035.97,No,Yes,Soil Health Card Scheme
Yes,4.28,Jharkhand,Chemical,Yes,419855.47,178414.87,Yes,No,Soil Health Card Scheme
No,44.71,Jharkhand,Chemical,No,260849.93,107104.38,No,Yes,PM Krishi Sinchayee Yojana
No,9.59,Uttarakhand,Organic,No,268233.74,108719.11,Yes,No,PM Krishi Sinchayee Yojana
Yes,16.17,Arunachal Pradesh,Chemical,Yes,285181.31,130755.58,Yes,Yes,NFSM
No,11.33,Chandigarh,Chemical,Yes,93698.72,77410.0,Yes,No,Kisan Credit Card Subsidy
No,17.75,Puducherry,Chemical,Yes,106868.25,129444.46,No,Yes,Kisan Credit Card Subsidy
No,3.47,Himachal Pradesh,Bioinputs,No,166220.49,8953.68,No,Yes,Soil Health Card Scheme
No,25.95,Mizoram,Bioinputs,No,300813.24,10809.53,No,Yes,Kisan Credit Card Subsidy
No,3.38,Karnataka,Organic,No,112957.71,91446.08,No,Yes,Soil Health Card Scheme
Yes,40.02,Jharkhand,Organic,No,67002.55,109924.46,No,No,NFSM
Yes,11.69,Sikkim,Chemical,No,485357.27,177563.53,Yes,No,PM Krishi Sinchayee Yojana
Yes,27.0,Tripura,Bioinputs,No,20771.09,20932.13,Yes,No,NFSM
No,44.0,Mizoram,Chemical,Yes,403321.73,164529.59,Yes,No,PM Krishi Sinchayee Yojana
No,32.54,Bihar,Chemical,Yes,396137.22,42009.47,No,No,PM Krishi Sinchayee Yojana
Yes,26.65,Meghalaya,Bioinputs,No,155634.92,78816.73,No,Yes,Soil Health Card Scheme
No,16.22,Punjab,Bioinputs,No,76457.04,63320.49,Yes,No,PM Krishi Sinchayee Yojana
Yes,16.65,Manipur,Bioinputs,No,81358.04,80031.05,No,No,NFSM
Yes,33.47,Tripura,Organic,No,351741.49,30099.1,No,No,PM Krishi Sinchayee Yojana
Yes,49.71,Uttarakhand,Organic,No,324975.23,100714.01,Yes,No,Kisan Credit Card Subsidy
No,33.09,Rajasthan,Chemical,Yes,393545.38,160328.52,Yes,Yes,Kisan Credit Card Subsidy
No,27.89,Chhattisgarh,Organic,Yes,469365.77,88306.8,No,Yes,Kisan Credit Card Subsidy
Yes,36.53,Goa,Bioinputs,No,349044.41,98122.72,No,Yes,NFSM
Yes,23.26,Mizoram,Bioinputs,Yes,86367.25,169753.52,Yes,Yes,RKVY
Yes,3.01,Andhra Pradesh,Organic,No,129286.88,141211.62,No,No,Soil Health Card Scheme
Yes,28.11,Chandigarh,Chemical,No,422674.93,98090.88,Yes,No,PM Krishi Sinchayee Yojana
No,47.88,Tripura,Chemical,No,112559.98,51539.13,Yes,Yes,Soil Health Card Scheme
No,8.77,Odisha,Organic,Yes,45535.94,176985.35,Yes,Yes,Soil Health Card Scheme
Yes,34.5,Bihar,Chemical,Yes,354607.23,115404.08,No,No,PM Krishi Sinchayee Yojana
Yes,10.05,Mizoram,Chemical,No,207237.91,44229.52,Yes,No,Kisan Credit Card Subsidy
No,26.79,Himachal Pradesh,Chemical,Yes,460819.63,53823.95,Yes,Yes,Kisan Credit Card Subsidy
No,4.83,Chandigarh,Bioinputs,Yes,328624.98,160626.62,No,Yes,NFSM
Yes,22.52,Telangana,Bioinputs,No,54305.3,8829.11,Yes,Yes,Soil Health Card Scheme
Yes,37.81,Arunachal Pradesh,Organic,Yes,474449.72,198418.44,No,Yes,Kisan Credit Card Subsidy
Yes,17.38,Haryana,Bioinputs,Yes,136693.06,26070.34,No,No,NFSM
No,33.25,Manipur,Chemical,No,175234.12,159213.71,No,No,Kisan Credit Card Subsidy
No,39.77,Gujarat,Bioinputs,No,207107.6,78955.06,Yes,No,Kisan Credit Card Subsidy
No,46.36,Uttarakhand,Organic,Yes,35099.91,98443.24,Yes,Yes,NFSM
Yes,11.73,Goa,Bioinputs,No,253292.56,176130.12,No,No,PM Krishi Sinchayee Yojana
Yes,19.97,Andhra Pradesh,Chemical,Yes,70426.06,82582.24,No,No,Soil Health Card Scheme
No,7.62,Manipur,Chemical,No,206475.46,107498.75,No,Yes,Kisan Credit Card Subsidy
No,49.62,Tamil Nadu,Organic,No,181847.8,9859.93,Yes,Yes,NFSM
Yes,46.35,Uttar Pradesh,Bioinputs,No,388691.64,469.49,No,Yes,Kisan Credit Card Subsidy
No,27.0,Gujarat,Bioinputs,No,403553.55,48959.97,No,Yes,PM Krishi Sinchayee Yojana
No,42.1,Delhi,Bioinputs,Yes,85172.31,136116.62,No,Yes,NFSM
Yes,26.05,Puducherry,Chemical,No,189610.08,24252.98,Yes,Yes,NFSM
No,31.18,Tripura,Organic,No,192943.05,22752.39,No,No,PM Krishi Sinchayee Yojana
Yes,4.46,Mizoram,Bioinputs,No,84191.12,82192.12,Yes,No,RKVY
Yes,37.76,Arunachal Pradesh,Chemical,Yes,401242.22,129567.41,Yes,No,PM Krishi Sinchayee Yojana
Yes,6.39,Uttarakhand,Chemical,Yes,356541.88,142414.4,No,No,Kisan Credit Card Subsidy
Yes,41.3,Himachal Pradesh,Chemical,No,103287.08,35690.13,No,No,NFSM
Yes,39.1,Delhi,Bioinputs,No,189693.74,15917.63,No,No,NFSM
Yes,35.44,Himachal Pradesh,Bioinputs,No,61844.46,188079.41,Yes,Yes,RKVY
Yes,1.81,Madhya Pradesh,Bioinputs,No,317821.23,52133.28,Yes,Yes,Soil Health Card Scheme
No,15.16,Goa,Bioinputs,No,69472.24,170669.3,Yes,Yes,Soil Health Card Scheme
Yes,13.16,Goa,Bioinputs,No,493107.74,172698.29,No,No,Kisan Credit Card Subsidy
Yes,18.01,Punjab,Bioinputs,Yes,392534.22,154504.52,Yes,No,Kisan Credit Card Subsidy
No,4.38,Punjab,Bioinputs,No,201216.89,33766.72,No,Yes,Kisan Credit Card Subsidy
No,46.85,Rajasthan,Bioinputs,No,293496.33,164360.29,No,Yes,Kisan Credit Card Subsidy
No,27.69,Assam,Bioinputs,No,456557.49,153850.11,No,Yes,PM Krishi Sinchayee Yojana
Yes,15.28,Mizoram,Chemical,No,281508.65,119344.6,Yes,Yes,Soil Health Card Scheme
No,19.85,Chandigarh,Bioinputs,No,95504.26,67440.41,Yes,Yes,Soil Health Card Scheme
Yes,22.36,Mizoram,Organic,No,195564.64,52501.72,Yes,No,NFSM
Yes,30.03,Kerala,Chemical,Yes,423140.98,24377.84,No,No,Kisan Credit Card Subsidy
Yes,25.78,Meghalaya,Bioinputs,Yes,325664.38,101951.41,Yes,No,Kisan Credit Card Subsidy
Yes,45.97,Manipur,Organic,Yes,328854.95,117052.18,Yes,Yes,NFSM
No,24.85,Madhya Pradesh,Bioinputs,Yes,434742.53,71867.8,No,No,PM Krishi Sinchayee Yojana
No,49.61,Tamil Nadu,Organic,Yes,448046.8,95071.81,No,Yes,PM Krishi Sinchayee Yojana
Yes,42.57,Andhra Pradesh,Organic,Yes,460698.36,72702.89,Yes,No,Kisan Credit Card Subsidy
Yes,10.43,Mizoram,Organic,No,56476.1,128201.21,No,Yes,Soil Health Card Scheme
Yes,46.53,Assam,Organic,No,276621.74,180251.84,Yes,Yes,NFSM
No,5.82,Uttar Pradesh,Chemical,No,372849.67,32784.05,No,No,PM Krishi Sinchayee Yojana
Yes,40.87,Manipur,Chemical,No,380894.15,76281.76,No,No,PM Krishi Sinchayee Yojana
